freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.882e+02,6.714e+01,2.327e+01,1.079e+03
1.5,5.896e+02,6.616e+01,5.267e+01,7.085e+02
3.0,7.423e+01,3.821e+01,5.498e+01,1.674e+02
4.5,5.267e+02,3.691e+01,6.142e+01,6.251e+02
6.0,1.977e+03,3.652e+01,6.349e+01,2.077e+03
7.6,3.063e+03,3.808e+01,5.503e+01,3.157e+03
9.1,4.283e+03,3.994e+01,5.375e+01,4.377e+03
10.6,5.890e+03,3.851e+01,5.354e+01,5.982e+03
12.1,7.794e+03,4.422e+01,5.705e+01,7.895e+03
13.6,9.987e+03,4.828e+01,5.895e+01,1.009e+04
15.1,1.263e+04,5.256e+01,5.835e+01,1.274e+04
16.6,1.554e+04,5.098e+01,6.018e+01,1.565e+04
18.1,1.872e+04,5.680e+01,6.367e+01,1.884e+04
19.6,2.247e+04,6.520e+01,6.035e+01,2.260e+04
21.2,2.671e+04,6.494e+01,6.411e+01,2.684e+04
22.7,3.083e+04,6.261e+01,5.790e+01,3.095e+04
24.2,3.591e+04,6.864e+01,6.120e+01,3.604e+04
25.7,4.166e+04,8.304e+01,6.111e+01,4.180e+04
27.2,4.863e+04,9.978e+01,5.485e+01,4.878e+04
28.7,5.761e+04,1.124e+02,5.583e+01,5.778e+04
30.2,6.763e+04,1.284e+02,6.085e+01,6.782e+04
31.7,7.923e+04,1.474e+02,5.880e+01,7.944e+04
33.2,9.257e+04,1.653e+02,5.728e+01,9.279e+04
34.8,1.082e+05,1.761e+02,6.295e+01,1.085e+05
36.3,1.274e+05,1.772e+02,5.826e+01,1.277e+05
37.8,1.492e+05,1.558e+02,7.307e+01,1.494e+05
39.3,1.803e+05,1.175e+02,1.130e+02,1.805e+05
40.8,2.193e+05,1.085e+02,1.943e+02,2.196e+05
42.3,2.672e+05,1.305e+02,3.114e+02,2.677e+05
43.8,3.285e+05,2.118e+02,5.270e+02,3.292e+05
45.3,4.263e+05,4.356e+02,1.083e+03,4.278e+05
46.8,5.638e+05,1.191e+03,2.469e+03,5.675e+05
48.4,7.649e+05,4.339e+03,5.515e+03,7.747e+05
49.9,1.128e+06,1.776e+04,1.319e+04,1.159e+06
51.4,1.715e+06,5.563e+04,2.878e+04,1.799e+06
52.9,2.606e+06,1.407e+05,5.602e+04,2.802e+06
54.4,3.474e+06,2.541e+05,9.179e+04,3.819e+06
55.9,3.534e+06,2.914e+05,9.295e+04,3.918e+06
57.4,2.594e+06,2.495e+05,7.095e+04,2.915e+06
58.9,1.738e+06,1.819e+05,5.732e+04,1.977e+06
60.4,1.173e+06,1.290e+05,4.957e+04,1.352e+06
62.0,8.180e+05,7.917e+04,3.640e+04,9.335e+05
63.5,5.168e+05,4.319e+04,2.269e+04,5.827e+05
65.0,3.098e+05,1.955e+04,9.787e+03,3.392e+05
66.5,1.977e+05,8.510e+03,2.659e+03,2.089e+05
68.0,1.410e+05,5.015e+03,1.126e+03,1.471e+05
