freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.821e+01,1.290e+03,2.274e+02,1.545e+03
1.5,3.451e+01,7.355e+02,1.562e+02,9.262e+02
3.0,2.539e+01,4.286e+01,4.225e+01,1.105e+02
4.5,2.544e+01,7.140e+02,4.578e+01,7.852e+02
6.0,4.633e+01,2.855e+03,4.347e+01,2.944e+03
7.6,6.608e+01,4.190e+03,3.983e+01,4.295e+03
9.1,3.405e+01,5.513e+03,3.940e+01,5.586e+03
10.6,3.158e+01,7.991e+03,4.165e+01,8.064e+03
12.1,4.218e+01,1.143e+04,4.047e+01,1.151e+04
13.6,4.127e+01,1.515e+04,4.087e+01,1.523e+04
15.1,4.365e+01,1.964e+04,4.061e+01,1.972e+04
16.6,8.534e+01,2.511e+04,3.914e+01,2.524e+04
18.1,1.070e+02,3.123e+04,4.104e+01,3.138e+04
19.6,8.286e+01,3.811e+04,4.586e+01,3.824e+04
21.2,7.866e+01,4.649e+04,4.995e+01,4.662e+04
22.7,1.389e+02,5.605e+04,5.948e+01,5.625e+04
24.2,1.942e+02,6.904e+04,7.052e+01,6.930e+04
25.7,1.958e+02,8.789e+04,8.789e+01,8.817e+04
27.2,2.122e+02,1.121e+05,1.085e+02,1.124e+05
28.7,2.667e+02,1.447e+05,1.617e+02,1.451e+05
30.2,3.288e+02,1.928e+05,3.011e+02,1.934e+05
31.7,3.785e+02,2.624e+05,5.736e+02,2.634e+05
33.2,4.708e+02,3.791e+05,1.315e+03,3.809e+05
34.8,7.892e+02,5.922e+05,3.664e+03,5.967e+05
36.3,1.675e+03,1.018e+06,2.559e+04,1.046e+06
37.8,4.518e+03,1.924e+06,1.669e+05,2.096e+06
39.3,5.298e+03,2.521e+06,3.521e+05,2.878e+06
40.8,2.723e+03,1.788e+06,4.370e+05,2.228e+06
42.3,3.676e+03,1.120e+06,4.752e+05,1.599e+06
43.8,6.768e+03,1.025e+06,5.025e+05,1.534e+06
45.3,1.288e+04,1.429e+06,5.679e+05,2.010e+06
46.8,1.793e+04,2.159e+06,5.702e+05,2.747e+06
48.4,2.005e+04,2.412e+06,4.357e+05,2.868e+06
49.9,2.095e+04,2.101e+06,3.359e+05,2.458e+06
51.4,2.648e+04,1.432e+06,2.609e+05,1.720e+06
52.9,2.688e+04,9.090e+05,2.116e+05,1.148e+06
54.4,2.222e+04,6.943e+05,1.873e+05,9.038e+05
55.9,2.419e+04,6.072e+05,1.723e+05,8.037e+05
57.4,2.417e+04,5.104e+05,1.420e+05,6.766e+05
58.9,2.135e+04,4.162e+05,1.042e+05,5.417e+05
60.4,2.199e+04,4.227e+05,8.861e+04,5.333e+05
62.0,2.038e+04,4.394e+05,8.003e+04,5.398e+05
63.5,1.620e+04,4.655e+05,6.425e+04,5.459e+05
65.0,1.414e+04,5.297e+05,5.726e+04,6.011e+05
66.5,1.168e+04,5.570e+05,6.099e+04,6.297e+05
68.0,9.093e+03,5.193e+05,6.454e+04,5.929e+05
69.5,8.187e+03,4.586e+05,6.600e+04,5.328e+05
71.0,7.696e+03,3.716e+05,6.531e+04,4.446e+05
72.5,7.337e+03,2.962e+05,7.158e+04,3.751e+05
74.0,7.115e+03,2.470e+05,8.381e+04,3.379e+05
75.6,6.439e+03,2.166e+05,9.043e+04,3.134e+05
77.1,8.406e+03,2.120e+05,9.451e+04,3.149e+05
78.6,1.076e+04,2.985e+05,8.510e+04,3.943e+05
80.1,8.168e+03,3.993e+05,5.692e+04,4.643e+05
81.6,6.987e+03,4.547e+05,3.454e+04,4.962e+05
83.1,7.406e+03,4.775e+05,2.134e+04,5.062e+05
84.6,9.171e+03,4.532e+05,1.411e+04,4.765e+05
86.1,9.663e+03,4.212e+05,1.048e+04,4.413e+05
87.6,5.672e+03,3.990e+05,8.653e+03,4.133e+05
89.2,4.479e+03,3.567e+05,8.128e+03,3.693e+05
90.7,5.329e+03,3.146e+05,8.185e+03,3.281e+05
92.2,5.637e+03,2.863e+05,9.265e+03,3.012e+05
93.7,7.231e+03,2.656e+05,9.758e+03,2.826e+05
95.2,7.648e+03,2.483e+05,8.724e+03,2.647e+05
96.7,1.104e+04,2.445e+05,7.803e+03,2.634e+05
98.2,1.612e+04,2.302e+05,6.330e+03,2.526e+05
99.7,1.331e+04,1.301e+05,5.527e+03,1.490e+05
101.2,6.958e+03,2.639e+04,4.315e+03,3.766e+04
102.8,3.450e+03,1.299e+04,2.718e+03,1.915e+04
104.3,5.213e+03,1.211e+04,1.581e+03,1.890e+04
105.8,5.750e+03,1.231e+04,9.598e+02,1.902e+04
107.3,6.840e+03,1.030e+04,6.299e+02,1.777e+04
108.8,7.659e+03,9.988e+03,4.046e+02,1.805e+04
110.3,7.209e+03,1.091e+04,2.633e+02,1.838e+04
111.8,1.135e+04,1.146e+04,2.852e+02,2.310e+04
113.3,1.903e+04,1.716e+04,6.334e+02,3.682e+04
114.8,2.632e+04,2.396e+04,1.311e+03,5.159e+04
116.4,3.334e+04,2.530e+04,1.771e+03,6.041e+04
117.9,3.997e+04,2.067e+04,1.652e+03,6.230e+04
119.4,4.282e+04,1.831e+04,1.601e+03,6.273e+04
120.9,3.726e+04,1.601e+04,1.591e+03,5.485e+04
122.4,3.006e+04,1.474e+04,1.504e+03,4.631e+04
123.9,2.699e+04,1.686e+04,1.499e+03,4.535e+04
125.4,2.158e+04,1.989e+04,1.608e+03,4.308e+04
126.9,1.871e+04,2.176e+04,1.521e+03,4.199e+04
128.4,2.125e+04,2.184e+04,1.330e+03,4.443e+04
130.0,1.918e+04,2.352e+04,1.328e+03,4.402e+04
131.5,1.435e+04,2.614e+04,1.412e+03,4.190e+04
133.0,1.467e+04,2.862e+04,1.434e+03,4.472e+04
134.5,1.842e+04,3.168e+04,1.498e+03,5.160e+04
136.0,2.602e+04,3.417e+04,1.635e+03,6.183e+04
137.5,3.815e+04,3.563e+04,1.872e+03,7.565e+04
139.0,5.676e+04,3.361e+04,1.847e+03,9.222e+04
140.5,7.976e+04,2.516e+04,1.543e+03,1.065e+05
142.1,7.713e+04,1.217e+04,9.084e+02,9.021e+04
143.6,5.140e+04,7.566e+03,4.258e+02,5.939e+04
145.1,2.273e+04,1.086e+04,2.150e+02,3.381e+04
146.6,8.347e+03,1.250e+04,1.409e+02,2.099e+04
148.1,6.519e+03,1.324e+04,1.954e+02,1.995e+04
149.6,6.794e+03,1.571e+04,3.169e+02,2.282e+04
151.1,1.345e+04,2.483e+04,5.698e+02,3.885e+04
152.6,2.086e+04,3.194e+04,8.759e+02,5.367e+04
154.1,2.535e+04,2.994e+04,9.098e+02,5.621e+04
155.7,2.822e+04,2.582e+04,8.369e+02,5.487e+04
157.2,3.308e+04,2.498e+04,8.956e+02,5.895e+04
158.7,3.741e+04,2.784e+04,9.464e+02,6.620e+04
160.2,3.653e+04,2.879e+04,9.604e+02,6.629e+04
161.7,3.139e+04,2.923e+04,8.928e+02,6.151e+04
163.2,2.650e+04,2.929e+04,7.189e+02,5.651e+04
164.7,2.548e+04,2.878e+04,5.471e+02,5.481e+04
166.2,2.825e+04,2.943e+04,4.573e+02,5.814e+04
167.7,2.951e+04,2.917e+04,3.900e+02,5.907e+04
169.3,3.116e+04,2.821e+04,3.453e+02,5.971e+04
170.8,3.080e+04,2.712e+04,2.757e+02,5.820e+04
172.3,3.089e+04,2.746e+04,2.519e+02,5.860e+04
173.8,3.205e+04,2.728e+04,2.448e+02,5.958e+04
175.3,3.227e+04,2.929e+04,3.103e+02,6.188e+04
176.8,3.256e+04,3.085e+04,3.461e+02,6.376e+04
178.3,3.181e+04,3.017e+04,3.476e+02,6.233e+04
179.8,3.078e+04,2.924e+04,4.099e+02,6.043e+04
181.3,3.184e+04,2.688e+04,4.990e+02,5.922e+04
182.9,3.488e+04,2.520e+04,5.696e+02,6.065e+04
184.4,4.007e+04,2.366e+04,5.986e+02,6.433e+04
185.9,4.569e+04,2.122e+04,6.247e+02,6.753e+04
187.4,5.438e+04,2.021e+04,8.099e+02,7.539e+04
188.9,6.364e+04,2.081e+04,1.087e+03,8.553e+04
190.4,5.809e+04,1.860e+04,1.152e+03,7.784e+04
191.9,5.841e+04,1.966e+04,1.197e+03,7.927e+04
193.4,5.546e+04,2.110e+04,1.044e+03,7.760e+04
194.9,4.881e+04,2.204e+04,6.826e+02,7.153e+04
196.5,4.457e+04,2.588e+04,5.979e+02,7.105e+04
198.0,3.964e+04,3.457e+04,8.862e+02,7.511e+04
199.5,3.336e+04,4.277e+04,1.336e+03,7.747e+04
